tract,DIABETES_CrudePrev,OBESITY_CrudePrev,CHD_CrudePrev,percent_uninsured,percent_no_car,access_constraint,poverty_rate,median_income,percent_no_hs,tract_str,fast_food_density,grocery_density,fast_food_ratio,no_grocery,dist_to_fast_food_km,dist_to_grocery_km,dist_scaled,no_car_scaled,raw_label,median_age,snap_rate,pct_under_18,pct_65_plus,pct_working_age
1.0,12.8,40.1,7.6,6.4,13.838447088290543,-0.5161485769418938,12.8,48425.0,13.973799126637552,100,0.0937754406986956,0.3751017627947826,0.2222222222222222,0,1.3187655728471797,0.6010095413691586,-0.474235678528811,1.0883798927636703,Census Tract 1; Lancaster County; Nebraska!!Estimate,38.2,14.65,24.45,19.0,56.55
2.01,11.0,35.9,7.0,5.0,10.81081081081081,-0.2348816704306204,16.4,55791.0,2.857142857142857,201,0.216569586871748,0.433139173743496,0.4,0,1.1493974256548014,0.8144004053388371,-0.3703291693776627,0.6342510659512415,Census Tract 2.01; Lancaster County; Nebraska!!Estimate,38.0,9.62,19.92,18.04,62.04
2.02,9.1,37.3,4.9,5.7,9.119696010132996,-0.1618513713959494,23.8,45597.0,3.939393939393939,202,0.0,0.4036598889302802,0.0,0,1.171509264300832,0.7015881540566054,-0.4252608895186172,0.3805931262081505,Census Tract 2.02; Lancaster County; Nebraska!!Estimate,25.1,23.45,15.31,11.31,73.38
3.0,10.2,37.8,5.5,13.7,7.757757757757758,-0.1034334065839093,19.9,55339.0,11.961367013372955,300,0.3425037534219654,0.6850075068439309,0.4,0,1.0050716901696786,0.3701320624150769,-0.5866569529613711,0.1763098622828731,Census Tract 3; Lancaster County; Nebraska!!Estimate,30.0,17.31,25.45,9.09,65.46
4.0,11.8,41.1,5.7,16.1,4.530281354315689,0.1271108830799582,30.9,47457.0,28.96233120113717,400,0.2300200495106163,0.4600400990212327,0.4,0,0.5851752194192543,0.7268214403895179,-0.4129740340811844,-0.307793886757951,Census Tract 4; Lancaster County; Nebraska!!Estimate,25.8,27.91,28.16,7.77,64.07
5.0,7.6,36.7,4.0,15.0,14.347826086956522,-0.4817955477415742,40.3,38152.0,9.161490683229816,500,0.2612900853257744,0.5225801706515489,0.4,0,0.9745920444666194,0.7254637806256703,-0.4136351199592397,1.1647839472360355,Census Tract 5; Lancaster County; Nebraska!!Estimate,24.5,7.18,9.22,3.85,86.93
6.0,2.0,31.9,1.2,3.6,7.453416149068323,-0.0654762026062365,63.7,43750.0,0.0,600,2.0515048542336607,0.5128762135584152,2.6666666666666665,0,0.4386076605838409,0.5458021506630284,-0.5011178380594676,0.1306602911199231,Census Tract 6; Lancaster County; Nebraska!!Estimate,19.6,11.54,0.26,0.0,99.74
7.0,9.7,33.0,4.5,10.5,18.943089430894307,-0.959130233128494,20.8,50000.0,16.58624849215923,700,1.30690267299814,1.30690267299814,0.8,0,0.6558239578144877,0.5125347159543757,-0.5173167649707952,1.8540482313242668,Census Tract 7; Lancaster County; Nebraska!!Estimate,27.9,14.98,13.36,11.99,74.65
8.0,9.9,38.4,4.9,10.6,4.563758389261745,0.1278800686162766,27.6,56775.0,16.71207992733878,800,0.0,1.4539595951306183,0.0,0,0.9602123831699184,0.7075384053581727,-0.4223635309821908,-0.3027725152285195,Census Tract 8; Lancaster County; Nebraska!!Estimate,29.4,20.95,32.08,6.71,61.21
9.0,6.4,31.3,3.4,6.6,9.440993788819876,-0.0980224908268862,15.3,58118.0,5.862068965517241,900,1.776732487834514,0.5922441626115047,2.6666666666666665,0,0.6358323902540032,1.1054573625009003,-0.2286046746159629,0.4287860298200636,Census Tract 9; Lancaster County; Nebraska!!Estimate,26.8,5.63,11.84,9.01,79.15
